編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTNMLOJNHLFFEA18CC,27,122.48,住家用,鋼筋混凝土造,78年5月24日,十二層,
RPTNMLOJNHLFFEA18CC,27,27.49,共用部分,鋼筋混凝土造,78年5月24日,十二層,
RPUNMLOJNHLFFEA28CC,34,129.31,住家用,鋼筋混凝土造,71年8月10日,七層,
RPUNMLOJNHLFFEA28CC,34,7.13,共用部分,鋼筋混凝土造,71年8月10日,七層,
RPVNMLOJNHLFFEA38CC,7,126.43,住家用,鋼筋混凝土造,97年11月18日,十三層,
RPVNMLOJNHLFFEA38CC,7,28.27,共用部分,鋼筋混凝土造,97年11月18日,十三層,
RPVNMLOJNHLFFEA38CC,7,22.95,共用部分,鋼筋混凝土造,97年11月18日,十三層,
RPVNMLOJNHLFFFA48CC,30,225.75,住家用,鋼筋混凝土造,74年12月18日,十七層,
RPVNMLOJNHLFFFA48CC,30,65.00,共有部分,鋼筋混凝土造,74年12月18日,十七層,
RPXNMLOJNHLFFFA68CC,,128.54,商業用,鋼筋混凝土造,,七層,
RPXNMLOJNHLFFFA68CC,38,18.86,共有部分,鋼筋混凝土造,66年12月21日,七層,
RPROMLOJNHLFFFA18CC,34,147.90,商業用,鋼筋混凝土造,70年12月30日,十六層,
RPROMLOJNHLFFFA18CC,34,25.96,共有部分,鋼筋混凝土造,70年12月30日,十六層,
RPSOMLOJNHLFFFA28CC,29,105.51,住家用,鋼筋混凝土造,76年2月26日,十四層,
RPSNMLOJNHLFFAA67CC,47,101.95,住家用,加強磚造,57年11月30日,四層,
RPTNMLOJNHLFFAA77CC,5,36.93,住家用,鋼筋混凝土造,100年7月4日,十三層,
RPTNMLOJNHLFFAA77CC,5,22.51,見其他登記事項,鋼筋混凝土造,100年7月4日,十三層,
RPSNMLPJNHLFFAA77CC,,46.17,,加強磚造,,二層,
RPPNMLPJNHLFFEA97DC,19,73.86,商業用,鋼筋混凝土造,86年1月13日,十層,
RPPNMLPJNHLFFEA97DC,19,6.37,共用部分,鋼筋混凝土造,86年1月13日,十層,
RPPNMLPJNHLFFEA97DC,19,4.76,共用部分,鋼筋混凝土造,86年1月13日,十層,
RPTOMLPJNHLFFEA38CC,8,134.89,住家用,鋼筋混凝土造,97年7月22日,十四層,
RPTOMLPJNHLFFEA38CC,8,52.27,共用部分,鋼筋混凝土造,97年7月22日,十四層,
